size_of_population,tournament_size,mutation_probability,tournament_selection_probability,hypervolume,spread,convergence,fitness,Execution_time,Number_of_solutions,Fdistance_best_value,Fcapacity_best_value,Fdistance_worst_value,Fcapacity_worst_value,Fdistance_average_value,Fcapacity_average_value
146,8,0.15,1,0.498486889,0.163912787,0.209735387,0.124838715,103.7875519,146,62890,42.84365079,97175,75.54761905,75668.25342,54.2657045
127,6,0.072377732,0.821753584,0.437958268,0.260768983,0.244885768,-0.067696484,97.12585711,127,62575,47.48730159,84295,83.66904762,69620.31496,61.83448319
157,9,0.15,0.992908558,0.918737657,0.147923424,0,0.770814233,145.4461904,157,55205,44.57460317,85175,109.7047619,64896.59236,68.99705793
122,6,0.076800056,0.857061815,0.332109438,0.206811358,0.339852448,-0.214554368,106.4379809,122,66600,44.50396825,86995,75.27380952,73050.77869,55.37144158
146,8,0.118892607,0.936648236,0.287572695,0.072660392,0.343283575,-0.128371273,58.82297683,146,64160,45.31904762,86370,73.36111111,72829.65753,57.22093933
136,7,0.128758073,0.922742536,0.508035504,0.183924409,0.115213709,0.208897386,123.7797027,136,58590,44.02619048,84990,86.91428571,67343.82353,61.05262021
168,9,0.148043797,0.992402592,0.556824458,0.26417525,0.188445902,0.104203306,87.79449749,168,61975,44.60555556,91810,82.99047619,69818.95833,60.27696051
156,9,0.135099431,0.971475755,0.547647454,0.127706228,0.070325407,0.349615818,134.978452,156,57760,42.3968254,90355,83.84285714,69122.08333,57.25302198
163,9,0.140329136,0.977924215,0.493809025,0.1329658,0.166823826,0.194019399,106.7755859,163,61325,43.38095238,89820,81.48571429,70259.72393,57.8827734
145,8,0.123605702,0.944793295,0.249025574,0.108633725,0.333082093,-0.192690244,94.79239297,145,63950,46.36111111,88245,69.72063492,71795.06897,54.84438971
158,9,0.139177731,0.969097035,0.456454045,0.102947347,0.209589855,0.143916844,91.04813004,158,60415,46.5031746,93370,76.48095238,70565.06329,57.75498292
142,8,0.115347473,0.933456974,0.622475744,0.13521752,0.209003791,0.278254433,58.5713973,142,61997.5,47.52222222,93255,85.05952381,71667.25352,60.63063939
125,7,0.098711446,0.888877134,0.44187491,0.252146184,0.233782675,-0.04405395,77.59975719,125,61775,45.57142857,84295,83.89047619,70153.4,60.13373333
122,6,0.093761768,0.880708326,0.417239042,0.225952067,0.254870163,-0.063583188,84.05692458,122,61220,49.40793651,79170,87.83809524,66839.71311,63.59253188
167,9,0.145317818,0.98716185,0.562386996,0.052040943,0.152657068,0.357688985,88.76922369,167,60560,43.12222222,100160,76.33650794,72935.68862,54.31784051
170,9,0.141571361,0.984743535,0.553692687,0.089304828,0.146817643,0.317570215,92.87328267,170,60410,45.68571429,89025,85.41904762,68779.41176,59.51691877
158,9,0.136569998,0.971221425,1,0.199092702,0,0.800907298,85.86994886,158,57805,43.11587302,96075,90.47777778,70030.47468,60.1328913
168,9,0.148340594,0.99644413,0.916958312,0.116310432,0,0.80064788,121.2928932,168,58460,43.28095238,90160,92.98095238,68646.19048,59.92762661
164,10,0.149853392,0.988205304,0.938633434,0.151544227,0.004816944,0.782272264,116.7042184,164,58220,42.02698413,96715,87.51428571,71423.56707,56.47574526
170,9,0.120173708,0.973624058,0.898725405,0.099887148,0.026203466,0.772634791,117.2962193,170,57740,45.15714286,91570,90.80714286,68021.35294,61.54262372
157,9,0.15,0.992908558,0.918737657,0.147923424,0,0.770814233,145.4461904,157,55205,44.57460317,85175,109.7047619,64896.59236,68.99705793
140,8,0.11575077,0.935617508,0.966523961,0.125683295,0.07842265,0.762418015,136.5661635,140,59930,44.03968254,100810,84.99047619,72695.64286,57.0169898
149,8,0.122632319,0.946360757,1,0.122907658,0.141889788,0.735202554,74.99907565,149,62185,46.03253968,87670,111,70536.81208,67.1058059
146,8,0.122716381,0.941535102,1,0.198188453,0.110426074,0.691385473,95.03245306,146,61705,42.74761905,95495,75.86825397,72751.91781,54.97485323
147,8,0.124243979,0.944808527,0.928740291,0.247835907,0.037513408,0.643390976,142.6274204,147,57380,44.24206349,90095,94.10793651,69380.06803,62.03445632
169,9,0.145749484,0.970383949,0.905374615,0.118841992,0.150222614,0.636310009,103.6210594,169,60495,45.53809524,102170,81.62857143,72019.11243,59.1035503
149,8,0.128302121,0.955342226,0.847219062,0.125612901,0.100450958,0.621155202,106.8424072,149,61115,43.6,94500,85.96031746,71107.61745,59.32295195
112,5,0.08160565,0.87823747,0.975350125,0.271488688,0.095217711,0.608643726,111.9537349,112,60490,46.46666667,86345,99.60952381,69055.35714,63.49029195
107,5,0.076916093,0.843391628,0.987921488,0.309400743,0.07257536,0.605945385,97.81846905,107,60720,43.44285714,97260,88.92142857,71171.7757,59.64955496
149,8,0.122345776,0.939915746,0.790077165,0.14306782,0.072403703,0.574605642,158.8636999,149,59820,42.84126984,96355,82.0952381,70625.97315,57.27426228
159,9,0.138056843,0.969153802,0.768105833,0.148730549,0.096189317,0.523185967,103.8581429,159,60575,43.51428571,90800,86.21587302,70717.45283,58.05546072
153,8,0.129133157,0.96505414,0.796121173,0.174214438,0.109869969,0.512036766,112.053762,153,60435,45.68095238,86435,91.77777778,69337.97386,59.71516755
